127.0.0.1 - - [20/Sep/2017:12:47:41 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:42 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:42 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:42 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/header/headerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesPackCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:47:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/marketCss/prices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 200 9893
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/IntroCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/marketCss/prices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesPackCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/MarketHistoryCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
